Wavelength,Intensity
500.00,0.00
500.98,0.00
501.96,0.00
502.93,1.68
503.91,9.10
504.89,6.92
505.87,2.69
506.84,6.68
507.82,0.00
508.80,0.00
509.78,2.69
510.75,2.02
511.73,0.38
512.71,3.02
513.69,9.56
514.66,4.06
515.64,20.04
516.62,5.35
517.60,0.00
518.57,0.00
519.55,3.85
520.53,0.00
521.51,0.00
522.48,0.00
523.46,15.20
524.44,0.00
525.42,0.00
526.39,11.56
527.37,0.00
528.35,3.97
529.33,11.29
530.30,0.00
531.28,0.00
532.26,12.73
533.24,13.61
534.21,5.84
535.19,3.51
536.17,0.00
537.15,2.99
538.12,0.00
539.10,0.00
540.08,11.12
541.06,0.00
542.03,11.28
543.01,0.84
543.99,0.00
544.97,0.00
545.94,0.00
546.92,0.00
547.90,7.33
548.88,0.00
549.85,9.95
550.83,0.00
551.81,0.00
552.79,0.00
553.76,1.77
554.74,4.39
555.72,14.13
556.70,2.28
557.67,3.81
558.65,0.86
559.63,2.95
560.61,0.00
561.58,1.62
562.56,0.11
563.54,5.42
564.52,0.00
565.49,4.95
566.47,0.00
567.45,0.00
568.43,0.00
569.40,2.74
570.38,0.00
571.36,0.79
572.34,0.00
573.31,1.34
574.29,4.35
575.27,0.00
576.25,17.94
577.22,0.00
578.20,0.00
579.18,0.00
580.16,2.50
581.13,0.00
582.11,0.91
583.09,0.00
584.07,0.00
585.04,0.00
586.02,0.00
587.00,1.46
587.98,0.00
588.95,0.00
589.93,0.00
590.91,4.17
591.89,5.26
592.86,0.00
593.84,3.91
594.82,0.00
595.80,18.42
596.77,0.00
597.75,0.00
598.73,0.00
599.71,0.00
600.68,8.47
601.66,0.85
602.64,0.00
603.62,0.00
604.59,0.00
605.57,3.66
606.55,0.00
607.53,1.89
608.50,0.00
609.48,7.37
610.46,6.18
611.44,5.74
612.41,0.00
613.39,4.15
614.37,7.35
615.35,4.87
616.32,0.00
617.30,4.06
618.28,1.36
619.26,0.00
620.23,0.00
621.21,0.00
622.19,0.00
623.17,7.43
624.14,10.31
625.12,0.00
626.10,9.62
627.08,14.73
628.05,3.33
629.03,0.02
630.01,0.00
630.99,3.42
631.96,8.36
632.94,10.99
633.92,0.00
634.90,9.45
635.87,5.40
636.85,0.00
637.83,0.00
638.81,9.45
639.78,0.00
640.76,10.24
641.74,15.12
642.72,0.00
643.70,1.46
644.67,0.00
645.65,0.00
646.63,7.04
647.61,0.00
648.58,5.12
649.56,12.98
650.54,0.00
651.52,1.49
652.49,0.00
653.47,0.00
654.45,0.00
655.43,2.60
656.40,0.00
657.38,0.00
658.36,0.00
659.34,0.00
660.31,0.00
661.29,0.00
662.27,6.94
663.25,0.00
664.22,11.94
665.20,2.47
666.18,1.44
667.16,0.00
668.13,0.00
669.11,0.00
670.09,0.00
671.07,13.53
672.04,4.17
673.02,8.28
674.00,5.34
674.98,0.00
675.95,0.00
676.93,5.68
677.91,0.09
678.89,11.15
679.86,0.00
680.84,14.05
681.82,0.00
682.80,15.94
683.77,4.45
684.75,0.00
685.73,0.00
686.71,0.00
687.68,0.00
688.66,0.00
689.64,0.00
690.62,0.00
691.59,0.00
692.57,4.16
693.55,15.82
694.53,0.00
695.50,10.87
696.48,12.02
697.46,0.00
698.44,6.44
699.41,8.85
700.39,5.24
701.37,0.00
702.35,0.00
703.32,0.00
704.30,0.00
705.28,10.53
706.26,8.69
707.23,1.18
708.21,0.00
709.19,0.00
710.17,10.05
711.14,0.00
712.12,3.33
713.10,0.00
714.08,1.51
715.05,0.00
716.03,0.00
717.01,14.19
717.99,12.63
