Wavelength,Intensity
500.00,0.00
500.98,0.00
501.96,0.00
502.93,0.64
503.91,9.85
504.89,7.13
505.87,0.00
506.84,9.68
507.82,0.00
508.80,0.00
509.78,2.48
510.75,2.38
511.73,5.10
512.71,1.57
513.69,6.62
514.66,2.16
515.64,21.04
516.62,4.23
517.60,0.00
518.57,0.00
519.55,0.00
520.53,0.00
521.51,0.00
522.48,0.00
523.46,15.64
524.44,0.00
525.42,0.00
526.39,11.45
527.37,0.00
528.35,3.06
529.33,10.03
530.30,0.00
531.28,0.00
532.26,12.89
533.24,13.85
534.21,3.19
535.19,5.23
536.17,0.00
537.15,0.00
538.12,0.00
539.10,0.00
540.08,12.73
541.06,0.00
542.03,7.10
543.01,0.71
543.99,0.00
544.97,0.00
545.94,0.00
546.92,0.00
547.90,8.12
548.88,0.00
549.85,9.37
550.83,0.00
551.81,0.00
552.79,0.00
553.76,2.68
554.74,1.02
555.72,16.10
556.70,4.12
557.67,5.01
558.65,2.83
559.63,1.10
560.61,0.00
561.58,0.00
562.56,0.16
563.54,4.69
564.52,0.00
565.49,6.42
566.47,0.00
567.45,1.33
568.43,0.00
569.40,0.87
570.38,0.00
571.36,2.35
572.34,0.00
573.31,1.49
574.29,4.38
575.27,0.40
576.25,16.79
577.22,0.00
578.20,0.00
579.18,0.00
580.16,2.01
581.13,0.00
582.11,2.29
583.09,2.81
584.07,0.00
585.04,0.00
586.02,0.00
587.00,1.92
587.98,0.00
588.95,0.00
589.93,0.00
590.91,4.29
591.89,4.60
592.86,0.00
593.84,3.29
594.82,0.00
595.80,16.00
596.77,0.00
597.75,0.00
598.73,0.00
599.71,0.00
600.68,7.87
601.66,4.73
602.64,0.00
603.62,0.00
604.59,0.00
605.57,2.57
606.55,0.00
607.53,0.00
608.50,0.00
609.48,4.42
610.46,8.57
611.44,3.99
612.41,0.35
613.39,4.74
614.37,3.85
615.35,5.09
616.32,0.00
617.30,3.44
618.28,3.07
619.26,0.00
620.23,0.00
621.21,0.00
622.19,0.00
623.17,9.62
624.14,9.58
625.12,0.00
626.10,8.93
627.08,11.26
628.05,2.26
629.03,0.00
630.01,0.00
630.99,3.03
631.96,6.20
632.94,13.39
633.92,0.00
634.90,9.65
635.87,3.09
636.85,0.00
637.83,1.76
638.81,11.16
639.78,0.00
640.76,6.85
641.74,15.53
642.72,0.00
643.70,2.95
644.67,0.20
645.65,0.00
646.63,9.52
647.61,0.00
648.58,5.68
649.56,9.66
650.54,0.00
651.52,2.54
652.49,0.00
653.47,0.00
654.45,0.00
655.43,4.11
656.40,0.00
657.38,0.26
658.36,0.00
659.34,0.00
660.31,0.00
661.29,0.00
662.27,7.70
663.25,0.00
664.22,12.78
665.20,2.67
666.18,0.00
667.16,0.00
668.13,0.00
669.11,2.59
670.09,0.00
671.07,14.83
672.04,4.92
673.02,5.23
674.00,3.71
674.98,0.00
675.95,0.00
676.93,4.71
677.91,2.50
678.89,7.59
679.86,0.00
680.84,11.82
681.82,0.00
682.80,16.11
683.77,6.57
684.75,0.00
685.73,0.00
686.71,0.00
687.68,0.00
688.66,0.00
689.64,0.00
690.62,0.00
691.59,0.00
692.57,4.56
693.55,14.09
694.53,0.00
695.50,11.68
696.48,14.11
697.46,0.00
698.44,7.91
699.41,5.61
700.39,6.59
701.37,2.85
702.35,0.00
703.32,0.00
704.30,0.00
705.28,10.03
706.26,6.56
707.23,0.00
708.21,0.00
709.19,0.00
710.17,12.66
711.14,0.00
712.12,6.25
713.10,0.00
714.08,1.04
715.05,0.00
716.03,0.00
717.01,11.12
717.99,14.80
