Wavelength,Intensity
500.00,0.00
500.98,0.00
501.96,0.00
502.93,0.50
503.91,13.81
504.89,6.49
505.87,0.00
506.84,6.80
507.82,0.00
508.80,0.37
509.78,0.00
510.75,0.00
511.73,2.29
512.71,0.00
513.69,10.71
514.66,4.76
515.64,21.00
516.62,4.68
517.60,0.00
518.57,0.00
519.55,2.45
520.53,0.00
521.51,0.00
522.48,0.00
523.46,16.02
524.44,0.00
525.42,0.00
526.39,12.43
527.37,0.00
528.35,5.24
529.33,7.60
530.30,0.00
531.28,0.00
532.26,11.41
533.24,13.34
534.21,2.32
535.19,3.97
536.17,0.00
537.15,3.80
538.12,0.00
539.10,0.00
540.08,11.07
541.06,0.00
542.03,11.18
543.01,4.64
543.99,0.00
544.97,0.00
545.94,0.00
546.92,0.19
547.90,4.60
548.88,0.00
549.85,9.09
550.83,0.00
551.81,0.00
552.79,0.00
553.76,2.09
554.74,3.95
555.72,16.54
556.70,3.50
557.67,1.45
558.65,4.56
559.63,2.24
560.61,0.00
561.58,0.63
562.56,0.00
563.54,4.63
564.52,0.00
565.49,3.67
566.47,0.00
567.45,0.00
568.43,0.00
569.40,0.00
570.38,0.00
571.36,2.95
572.34,0.00
573.31,3.63
574.29,7.12
575.27,0.00
576.25,17.00
577.22,0.00
578.20,0.00
579.18,0.00
580.16,0.77
581.13,0.00
582.11,1.34
583.09,0.54
584.07,0.00
585.04,0.00
586.02,0.00
587.00,1.39
587.98,0.00
588.95,0.00
589.93,0.00
590.91,3.83
591.89,3.96
592.86,0.00
593.84,0.57
594.82,0.00
595.80,14.93
596.77,0.00
597.75,0.00
598.73,0.49
599.71,0.00
600.68,3.97
601.66,3.10
602.64,0.00
603.62,0.00
604.59,0.00
605.57,3.23
606.55,0.00
607.53,0.00
608.50,0.00
609.48,6.75
610.46,5.91
611.44,4.80
612.41,3.15
613.39,4.98
614.37,4.74
615.35,3.37
616.32,0.00
617.30,5.38
618.28,1.48
619.26,0.00
620.23,0.00
621.21,0.00
622.19,0.00
623.17,5.55
624.14,8.63
625.12,0.00
626.10,7.96
627.08,11.92
628.05,0.10
629.03,0.00
630.01,0.00
630.99,6.77
631.96,6.09
632.94,11.36
633.92,0.76
634.90,11.08
635.87,3.94
636.85,0.00
637.83,0.68
638.81,9.54
639.78,0.00
640.76,7.01
641.74,14.41
642.72,0.00
643.70,1.80
644.67,0.00
645.65,0.00
646.63,5.36
647.61,0.00
648.58,8.49
649.56,11.46
650.54,0.00
651.52,0.00
652.49,0.00
653.47,0.00
654.45,0.00
655.43,5.71
656.40,0.00
657.38,0.16
658.36,0.00
659.34,0.00
660.31,0.00
661.29,0.00
662.27,10.09
663.25,0.00
664.22,11.44
665.20,2.40
666.18,0.00
667.16,0.00
668.13,0.00
669.11,0.01
670.09,0.00
671.07,12.24
672.04,4.58
673.02,4.83
674.00,2.71
674.98,0.00
675.95,0.00
676.93,5.68
677.91,1.47
678.89,10.96
679.86,0.00
680.84,13.08
681.82,0.00
682.80,16.37
683.77,5.79
684.75,0.00
685.73,0.00
686.71,0.00
687.68,0.00
688.66,0.00
689.64,0.00
690.62,0.00
691.59,0.00
692.57,8.11
693.55,14.90
694.53,0.00
695.50,11.77
696.48,14.18
697.46,0.00
698.44,6.19
699.41,8.73
700.39,4.72
701.37,2.38
702.35,0.00
703.32,0.00
704.30,0.00
705.28,10.34
706.26,6.40
707.23,0.00
708.21,0.00
709.19,0.00
710.17,9.31
711.14,0.00
712.12,4.71
713.10,0.00
714.08,1.24
715.05,0.00
716.03,0.00
717.01,10.34
717.99,14.58
