Wavelength,Intensity
500.00,0.00
500.98,0.00
501.96,0.00
502.93,0.00
503.91,11.38
504.89,5.69
505.87,0.00
506.84,5.75
507.82,0.00
508.80,0.00
509.78,0.26
510.75,0.50
511.73,3.22
512.71,1.65
513.69,10.18
514.66,2.79
515.64,22.32
516.62,3.63
517.60,0.00
518.57,0.00
519.55,3.13
520.53,0.00
521.51,0.00
522.48,0.00
523.46,18.12
524.44,0.00
525.42,0.00
526.39,12.19
527.37,0.00
528.35,4.34
529.33,12.18
530.30,0.00
531.28,0.00
532.26,13.58
533.24,10.53
534.21,3.06
535.19,3.24
536.17,0.00
537.15,1.34
538.12,0.00
539.10,0.00
540.08,12.15
541.06,0.00
542.03,10.66
543.01,3.76
543.99,0.00
544.97,0.00
545.94,0.00
546.92,0.45
547.90,8.63
548.88,0.00
549.85,9.06
550.83,0.00
551.81,0.00
552.79,0.00
553.76,1.05
554.74,1.27
555.72,17.19
556.70,3.20
557.67,4.21
558.65,1.98
559.63,3.69
560.61,0.38
561.58,0.00
562.56,0.00
563.54,1.03
564.52,0.00
565.49,3.69
566.47,0.00
567.45,0.39
568.43,0.00
569.40,0.00
570.38,0.00
571.36,2.68
572.34,0.00
573.31,2.87
574.29,2.70
575.27,0.00
576.25,17.24
577.22,0.00
578.20,0.00
579.18,0.00
580.16,0.40
581.13,0.00
582.11,1.79
583.09,1.33
584.07,0.00
585.04,0.00
586.02,0.00
587.00,2.06
587.98,0.00
588.95,0.00
589.93,0.00
590.91,3.39
591.89,4.36
592.86,0.00
593.84,1.47
594.82,0.00
595.80,16.83
596.77,0.00
597.75,0.00
598.73,0.00
599.71,0.23
600.68,5.92
601.66,2.64
602.64,0.00
603.62,0.00
604.59,0.00
605.57,3.92
606.55,0.00
607.53,1.11
608.50,0.00
609.48,5.00
610.46,6.07
611.44,7.08
612.41,0.00
613.39,4.74
614.37,4.47
615.35,4.77
616.32,0.00
617.30,2.85
618.28,3.17
619.26,0.00
620.23,0.00
621.21,0.00
622.19,0.00
623.17,7.23
624.14,7.53
625.12,0.00
626.10,8.45
627.08,11.51
628.05,3.39
629.03,0.00
630.01,0.00
630.99,3.48
631.96,9.82
632.94,10.20
633.92,0.00
634.90,6.93
635.87,5.98
636.85,0.00
637.83,3.64
638.81,8.69
639.78,0.00
640.76,9.31
641.74,16.88
642.72,0.00
643.70,4.79
644.67,0.00
645.65,0.00
646.63,7.74
647.61,0.00
648.58,6.13
649.56,10.04
650.54,0.94
651.52,0.00
652.49,0.00
653.47,0.00
654.45,0.00
655.43,2.96
656.40,0.00
657.38,0.62
658.36,0.00
659.34,0.00
660.31,0.00
661.29,0.00
662.27,9.08
663.25,0.00
664.22,11.29
665.20,0.00
666.18,0.00
667.16,0.00
668.13,0.00
669.11,0.00
670.09,0.00
671.07,14.73
672.04,6.43
673.02,5.02
674.00,4.42
674.98,0.00
675.95,0.00
676.93,6.27
677.91,0.00
678.89,9.37
679.86,0.00
680.84,13.03
681.82,0.00
682.80,18.92
683.77,4.00
684.75,0.00
685.73,0.00
686.71,0.00
687.68,0.00
688.66,0.00
689.64,0.00
690.62,0.00
691.59,0.00
692.57,7.68
693.55,12.82
694.53,0.00
695.50,8.38
696.48,11.99
697.46,0.00
698.44,9.70
699.41,7.86
700.39,4.64
701.37,0.00
702.35,0.00
703.32,0.00
704.30,0.00
705.28,10.47
706.26,7.48
707.23,1.84
708.21,1.42
709.19,0.00
710.17,11.36
711.14,0.00
712.12,3.42
713.10,0.00
714.08,1.19
715.05,0.69
716.03,0.00
717.01,11.46
717.99,13.87
